date,information_link,category,headlines,story_card_image,description,image_video_links
"November 04, 2022",https://www.indiatoday.in/visualstories/lifestyle/tabus-love-for-black-12541-04-11-2022,Lifestyle,Tabu’s Love For Black,https://akm-img-a-in.tosshub.com/sites/visualstory/indiatoday/img/0.png?size=230:307,By Tiasa Bhowal - Tabu’s Love For Black,https://akm-img-a-in.tosshub.com/sites/visualstory/stories/2022_11/story_12541/assets/2.jpeg?time=1667540634
"November 04, 2022",https://www.indiatoday.in/visualstories/lifestyle/tabus-love-for-black-12541-04-11-2022,Lifestyle,Tabu’s Love For Black,https://akm-img-a-in.tosshub.com/sites/visualstory/indiatoday/img/0.png?size=230:307,"Tabu is celebrating her 52nd birthday today. Time and again,
the actress has become the point of discussion for not just her acting skills
but her simplistic approach to fashion has won the internet’s approval.",https://akm-img-a-in.tosshub.com/sites/visualstory/stories/2022_11/story_12541/assets/4.jpeg?time=1667540635
"November 04, 2022",https://www.indiatoday.in/visualstories/lifestyle/tabus-love-for-black-12541-04-11-2022,Lifestyle,Tabu’s Love For Black,https://akm-img-a-in.tosshub.com/sites/visualstory/indiatoday/img/0.png?size=230:307,"If you take a closer look at her Instagram account, you will
notice that Tabu has a thing for black outfits. Be it a little black dress or a
saree, the actress has never failed to impress the fashion police.",https://akm-img-a-in.tosshub.com/sites/visualstory/stories/2022_11/story_12541/assets/5.jpeg?time=1667540635
"November 04, 2022",https://www.indiatoday.in/visualstories/lifestyle/tabus-love-for-black-12541-04-11-2022,Lifestyle,Tabu’s Love For Black,https://akm-img-a-in.tosshub.com/sites/visualstory/indiatoday/img/0.png?size=230:307,"Here, we take a look at the actress’ stunning outfits in
black on her birthday.",https://akm-img-a-in.tosshub.com/sites/visualstory/stories/2022_11/story_12541/assets/6.jpeg?time=1667540635
"November 04, 2022",https://www.indiatoday.in/visualstories/lifestyle/tabus-love-for-black-12541-04-11-2022,Lifestyle,Tabu’s Love For Black,https://akm-img-a-in.tosshub.com/sites/visualstory/indiatoday/img/0.png?size=230:307,"Black is a classic colour for a reason. Tabu looks stylish
in an oversized palazzo and polka dot top.",https://akm-img-a-in.tosshub.com/sites/visualstory/stories/2022_11/story_12541/assets/7.jpeg?time=1667540635
"November 04, 2022",https://www.indiatoday.in/visualstories/lifestyle/tabus-love-for-black-12541-04-11-2022,Lifestyle,Tabu’s Love For Black,https://akm-img-a-in.tosshub.com/sites/visualstory/indiatoday/img/0.png?size=230:307,"Here, she kept it simple in a black dress which had pop of colour
in the skirt.",https://akm-img-a-in.tosshub.com/sites/visualstory/stories/2022_11/story_12541/assets/8.jpeg?time=1667540635
"November 04, 2022",https://www.indiatoday.in/visualstories/lifestyle/tabus-love-for-black-12541-04-11-2022,Lifestyle,Tabu’s Love For Black,https://akm-img-a-in.tosshub.com/sites/visualstory/indiatoday/img/0.png?size=230:307,Tabu looks absolutely divine in this one shoulder dual tone dress.,https://akm-img-a-in.tosshub.com/sites/visualstory/stories/2022_11/story_12541/assets/9.jpeg?time=1667540635
"November 04, 2022",https://www.indiatoday.in/visualstories/lifestyle/tabus-love-for-black-12541-04-11-2022,Lifestyle,Tabu’s Love For Black,https://akm-img-a-in.tosshub.com/sites/visualstory/indiatoday/img/0.png?size=230:307,Which is your favourite look?,https://akm-img-a-in.tosshub.com/sites/visualstory/stories/2022_11/story_12541/assets/10.jpeg?time=1667540633
"November 03, 2022",https://www.indiatoday.in/visualstories/technology/elon-musk-to-fire-3800-twitter-workers-on-november-4-report-12523-03-11-2022,Technology,Elon Musk to fire 50% of Twitter workers,https://akm-img-a-in.tosshub.com/sites/visualstory/indiatoday/img/0.png?size=230:307,"By Ankita Garg - Elon Musk
to fire half of Twitter workforce this week",https://akm-img-a-in.tosshub.com/sites/visualstory/stories/2022_11/story_12523/assets/2.jpeg?time=1667476100
"November 03, 2022",https://www.indiatoday.in/visualstories/technology/elon-musk-to-fire-3800-twitter-workers-on-november-4-report-12523-03-11-2022,Technology,Elon Musk to fire 50% of Twitter workers,https://akm-img-a-in.tosshub.com/sites/visualstory/indiatoday/img/0.png?size=230:307,Elon Musk has already fired a board of directors and some top executives. He will now reportedly cut half of Twitter's workforce.,https://akm-img-a-in.tosshub.com/sites/visualstory/stories/2022_11/story_12523/assets/4.jpeg?time=1667476100
